"Site Title","Site Url","Percentage Used","Storage Used (MB)","Storage Quota (MB)"
"Power Sky","https://skylan.sharepoint.com/sites/PowerBI","0,03","277","1048576"
"OBJETIVOS 2019","https://skylan.sharepoint.com/sites/OBJETIVOS2019","0","1","1048576"
"PowerSky-Asfamas","https://skylan.sharepoint.com/sites/PowerSky-Asfamas9","0","1","1048576"
"SkyBSC","https://skylan.sharepoint.com/sites/SkyBSC","0","1","1048576"
"Jo?o Paulo - pessoal","https://skylan.sharepoint.com/sites/convidados","0","1","1048576"
"PowerSky - Piazentin","https://skylan.sharepoint.com/sites/PowerSky-Piazentin","0","1","1048576"
"PowerSky - Sarapu?","https://skylan.sharepoint.com/sites/PowerSky-Sarapu","0","1","1048576"
"CONTRATOS CLIENTES","https://skylan.sharepoint.com/sites/CONTRATOSCLIENTES","0","1","1048576"
"Calendario","https://skylan.sharepoint.com/sites/Calendario","0","1","1048576"
"SkyReport","https://skylan.sharepoint.com/sites/SkyReport","0","1","1048576"
"OpiceBlum - FILES/SEG 365","https://skylan.sharepoint.com/sites/OpiceBlum-FILESSEG365","0","1","1048576"
"Dash Com","https://skylan.sharepoint.com/sites/DashCom","0","1","1048576"
"Comunidade","https://skylan.sharepoint.com/portals/community","0","1","0"
"Gest?o","https://skylan.sharepoint.com/sites/Gesto","0","10","1048576"
"","https://skylan-my.sharepoint.com/","6,2","6350","102400"
"PowerSky - MEG","https://skylan.sharepoint.com/sites/PowerSky-MEG","0","1","1048576"
"Office 365 - Skylan","https://skylan.sharepoint.com/sites/Office365-Skylan","0","1","1048576"
"DELTA SKY","https://skylan.sharepoint.com/sites/DELTASKY","0","1","1048576"
"ANALISTA - SKYLAN","https://skylan.sharepoint.com/sites/ANALISTA-SKYLAN","0","2","1048576"
"MELHORIAS","https://skylan.sharepoint.com/sites/MELHORIAS","0","1","1048576"
"PowerSky - Consulesp","https://skylan.sharepoint.com/sites/PowerSky-Consulesp","0","1","1048576"
"Sistemas","https://skylan.sharepoint.com/sites/Sistemas","0","1","1048576"
"Migra??o 365 Pimenta Print","https://skylan.sharepoint.com/sites/Migrao365PimentaPrint","0","1","1048576"
"Devops","https://skylan.sharepoint.com/sites/devops.teams","0","1","1048576"
"T?cnica","https://skylan.sharepoint.com/sites/Analistas2","0,16","1682","1048576"
"PowerSky - Escala7","https://skylan.sharepoint.com/sites/PowerSky-Escala72","0","1","1048576"
"PCSI - Rever","https://skylan.sharepoint.com/sites/PCSI-Rever336","0","1","1048576"
"Projeto MQ Queiroz Arquitetura","https://skylan.sharepoint.com/sites/ProjetoMQQueirozArquitetura","0","1","1048576"
